dataset,message,level,component,template
OpenSSH_2k,Dec 10 11:03:48 LabSZ sshd[25459]: Failed password for invalid user user from 103.99.0.122 port 61269 ssh2,,sshd,<IP> ssh2
OpenSSH_2k,Dec 10 09:11:26 LabSZ sshd[24441]: error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:57:47 LabSZ sshd[25077]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:19:28 LabSZ sshd[24661]: Failed password for mysql from 187.141.143.180 port 52586 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:57:13 LabSZ sshd[25045]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:57:02 LabSZ sshd[25033]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:19:57 LabSZ sshd[24671]: Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],,sshd,<IP>
OpenSSH_2k,Dec 10 11:02:15 LabSZ sshd[25372]: Failed password for root from 183.62.140.253 port 37047 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:28:14 LabSZ sshd[24253]: Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:57:40 LabSZ sshd[25071]: Failed password for root from 183.62.140.253 port 41439 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:28:08 LabSZ sshd[24247]: Received disconnect from 112.95.230.3: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:57:15 LabSZ sshd[25047]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:55:26 LabSZ sshd[24935]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:14:09 LabSZ sshd[24535]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:11:38 LabSZ sshd[24449]: error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 08:33:29 LabSZ sshd[24389]: Invalid user admin from 103.207.39.212,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 09:17:21 LabSZ sshd[24610]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=187.141.143.180,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 07:34:06 LabSZ sshd[24293]: Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:01:16 LabSZ sshd[25311]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:03:41 LabSZ sshd[25455]: pam_unix(sshd:auth): check pass; user unknown,,sshd,<IP> sshd [<IP>]
OpenSSH_2k,Dec 10 09:16:08 LabSZ sshd[24579]: Received disconnect from 187.141.143.180: 11: Bye Bye [preauth],,sshd,<IP>
OpenSSH_2k,Dec 10 11:01:29 LabSZ sshd[25324]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:04:38 LabSZ sshd[25534]: input_userauth_request: invalid user guest [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 10:55:07 LabSZ sshd[24912]: Failed password for root from 183.62.140.253 port 40631 ssh2,,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
OpenSSH_2k,Dec 10 11:04:13 LabSZ sshd[25494]: Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],,sshd,<IP> <NUM> <UUID> <PATH> <HEX> <DATE> <TIME> <MS> <HOST>
