dataset,line_no,timestamp,level,component,message,template
Apache_2k,1,,,Sun,[Sun Dec 04 04:47:44 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:47:44 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,2,,,Sun,[Sun Dec 04 04:47:44 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:47:44 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,3,,,Sun,[Sun Dec 04 04:51:08 2005] [notice] jk2_init() Found child 6725 in scoreboard slot 10,[Sun Dec 04 04:51:08 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,4,,,Sun,[Sun Dec 04 04:51:09 2005] [notice] jk2_init() Found child 6726 in scoreboard slot 8,[Sun Dec 04 04:51:09 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,5,,,Sun,[Sun Dec 04 04:51:09 2005] [notice] jk2_init() Found child 6728 in scoreboard slot 6,[Sun Dec 04 04:51:09 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,6,,,Sun,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:51:14 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,7,,,Sun,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:51:14 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,8,,,Sun,[Sun Dec 04 04:51:14 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:51:14 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,9,,,Sun,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:51:18 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,10,,,Sun,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:51:18 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,11,,,Sun,[Sun Dec 04 04:51:18 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:51:18 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,12,,,Sun,[Sun Dec 04 04:51:37 2005] [notice] jk2_init() Found child 6736 in scoreboard slot 10,[Sun Dec 04 04:51:37 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,13,,,Sun,[Sun Dec 04 04:51:38 2005] [notice] jk2_init() Found child 6733 in scoreboard slot 7,[Sun Dec 04 04:51:38 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,14,,,Sun,[Sun Dec 04 04:51:38 2005] [notice] jk2_init() Found child 6734 in scoreboard slot 9,[Sun Dec 04 04:51:38 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,15,,,Sun,[Sun Dec 04 04:51:52 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:51:52 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,16,,,Sun,[Sun Dec 04 04:51:52 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:51:52 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,17,,,Sun,[Sun Dec 04 04:51:55 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:51:55 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,18,,,Sun,[Sun Dec 04 04:52:04 2005] [notice] jk2_init() Found child 6738 in scoreboard slot 6,[Sun Dec 04 04:52:04 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,19,,,Sun,[Sun Dec 04 04:52:04 2005] [notice] jk2_init() Found child 6741 in scoreboard slot 9,[Sun Dec 04 04:52:04 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 9
Apache_2k,20,,,Sun,[Sun Dec 04 04:52:05 2005] [notice] jk2_init() Found child 6740 in scoreboard slot 7,[Sun Dec 04 04:52:05 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 7
Apache_2k,21,,,Sun,[Sun Dec 04 04:52:05 2005] [notice] jk2_init() Found child 6737 in scoreboard slot 8,[Sun Dec 04 04:52:05 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,22,,,Sun,[Sun Dec 04 04:52:12 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:52:12 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,23,,,Sun,[Sun Dec 04 04:52:12 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:52:12 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,24,,,Sun,[Sun Dec 04 04:52:12 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:52:12 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,25,,,Sun,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 6,[Sun Dec 04 04:52:15 <NUM>] [error] mod_jk child workerEnv in error state 6
Apache_2k,26,,,Sun,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:52:15 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,27,,,Sun,[Sun Dec 04 04:52:15 2005] [error] mod_jk child workerEnv in error state 7,[Sun Dec 04 04:52:15 <NUM>] [error] mod_jk child workerEnv in error state 7
Apache_2k,28,,,Sun,[Sun Dec 04 04:52:36 2005] [notice] jk2_init() Found child 6748 in scoreboard slot 6,[Sun Dec 04 04:52:36 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 6
Apache_2k,29,,,Sun,[Sun Dec 04 04:52:36 2005] [notice] jk2_init() Found child 6744 in scoreboard slot 10,[Sun Dec 04 04:52:36 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 10
Apache_2k,30,,,Sun,[Sun Dec 04 04:52:36 2005] [notice] jk2_init() Found child 6745 in scoreboard slot 8,[Sun Dec 04 04:52:36 <NUM>] [notice] jk2_init() Found child <NUM> in scoreboard slot 8
Apache_2k,31,,,Sun,[Sun Dec 04 04:52:49 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:52:49 <NUM>] [notice] workerEnv.init() ok <PATH>
Apache_2k,32,,,Sun,[Sun Dec 04 04:52:49 2005] [notice] workerEnv.init() ok /etc/httpd/conf/workers2.properties,[Sun Dec 04 04:52:49 <NUM>] [notice] workerEnv.init() ok <PATH>
