dataset,line_no,timestamp,level,component,message,template
HPC_2k,1,,,Change,134681 node-246 unix.hw state_change.unavailable 1077804742 1 Component State Change: Component \042SCSI-WWID:01000010:6005-08b4-0001-00c6-0006-3000-003d-0000\042 is in the unavailable state (HWID=1973),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042SCSI-WWID:<HEX>:<NUM>-08b4-<NUM>-00c6-<NUM>-<NUM>-003d-<NUM>\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,2,,,Change,350766 node-109 unix.hw state_change.unavailable 1084680778 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3180),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,3,,,Change,344518 node-246 unix.hw state_change.unavailable 1084270955 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=5089),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,4,,,Change,344448 node-153 unix.hw state_change.unavailable 1084270952 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4088),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,5,,,Change,366633 node-200 unix.hw state_change.unavailable 1085100843 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2538),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,6,,,Change,366463 node-122 unix.hw state_change.unavailable 1085084674 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2480),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,7,,,Change,438190 node-228 unix.hw state_change.unavailable 1097194780 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3713),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,8,,,Change,225111 node-10 unix.hw state_change.unavailable 1117296789 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3891),<NUM> node-10 unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,9,,,Change,360778 node-130 unix.hw state_change.unavailable 1141108031 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2478),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,10,,,Change,401569 node-169 unix.hw state_change.unavailable 1142550406 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2969),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,11,,,Change,401855 node-187 unix.hw state_change.unavailable 1142553646 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=4159),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,12,,,Change,460773 node-199 unix.hw state_change.unavailable 1145552100 1 Component State Change: Component \042alt0\042 is in the unavailable state (HWID=2608),<NUM> node-<NUM> unix.hw state_change.unavailable <HEX> 1 Component State Change: Component \042alt0\<NUM> is in the unavailable state (HWID=<NUM>)
HPC_2k,13,,,node-70,2568643 node-70 action start 1074119817 1 clusterAddMember  (command 1902),<NUM> node-70 action start <HEX> 1 clusterAddMember  (command <NUM>)
HPC_2k,14,,,node-124,2570772 node-124 action start 1074123150 1 clusterAddMember  (command 1900),<NUM> node-<NUM> action start <HEX> 1 clusterAddMember  (command <NUM>)
HPC_2k,15,,,node-28,2571927 node-28 action start 1074125371 1 risBoot  (command 1903),<NUM> node-28 action start <HEX> 1 risBoot  (command <NUM>)
HPC_2k,16,,,node-17,2572286 node-17 action start 1074126278 1 bootGenvmunix  (command 1903),<NUM> node-17 action start <HEX> 1 bootGenvmunix  (command <NUM>)
HPC_2k,17,,,node-162,2575909 node-162 action start 1074178193 1 boot  (command 1911),<NUM> node-<NUM> action start <HEX> 1 boot  (command <NUM>)
HPC_2k,18,,,node-181,2576195 node-181 action start 1074178628 1 boot  (command 1910),<NUM> node-<NUM> action start <HEX> 1 boot  (command <NUM>)
HPC_2k,19,,,node-198,2599298 node-198 action start 1074297419 1 boot  (command 1978),<NUM> node-<NUM> action start <HEX> 1 boot  (command <NUM>)
