dataset,line_no,timestamp,level,component,message,template
HealthApp_2k,1,,,Step_LSC,20171223-22:15:29:606|Step_LSC|30002312|onStandStepChanged 3579,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,2,,,onExtend,20171223-22:15:29:615|Step_LSC|30002312|onExtend:1514038530000 14 0 4,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 14 0 4
HealthApp_2k,3,,,action,20171223-22:15:29:633|Step_StandReportReceiver|30002312|onReceive action: android.intent.action.SCREEN_ON,<HEX>-22:15:29:<NUM>|Step_StandReportReceiver|<HEX>|onReceive action: android.intent.action.SCREEN_ON
HealthApp_2k,4,,,action,20171223-22:15:29:635|Step_LSC|30002312|processHandleBroadcastAction action:android.intent.action.SCREEN_ON,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|processHandleBroadcastAction action:android.intent.action.SCREEN_ON
HealthApp_2k,5,,,Step_StandStepCounter,20171223-22:15:29:635|Step_StandStepCounter|30002312|flush sensor data,<HEX>-22:15:29:<NUM>|Step_StandStepCounter|<HEX>|flush sensor data
HealthApp_2k,6,,,Step_SPUtils,20171223-22:15:29:635|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##6993##548365##8661##12266##27164404,<HEX>-22:15:29:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,7,,,Step_SPUtils,20171223-22:15:29:636|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7007##548365##8661##12361##27173954,<HEX>-22:15:29:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,8,,,Step_LSC,20171223-22:15:29:636|Step_LSC|30002312|onStandStepChanged 3579,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,9,,,Step_ExtSDM,20171223-22:15:29:645|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126775,<HEX>-22:15:29:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,10,,,Step_ExtSDM,20171223-22:15:29:648|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:29:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,11,,,Step_StandReportReceiver,20171223-22:15:29:649|Step_StandReportReceiver|30002312|REPORT : 7007 5002 150089 240,<HEX>-22:15:29:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,12,,,onExtend,20171223-22:15:29:737|Step_LSC|30002312|onExtend:1514038530000 0 0 4,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 4
HealthApp_2k,13,,,Step_LSC,20171223-22:15:29:738|Step_LSC|30002312|onStandStepChanged 3579,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,14,,,Step_LSC,20171223-22:15:29:792|Step_LSC|30002312|onStandStepChanged 3580,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,15,,,onExtend,20171223-22:15:29:800|Step_LSC|30002312|onExtend:1514038530000 1 0 4,<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,16,,,Step_SPUtils,20171223-22:15:29:950|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7007##548365##8661##12361##27173954,<HEX>-22:15:29:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,17,,,Step_SPUtils,20171223-22:15:29:950|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7008##548365##8661##12456##27174269,<HEX>-22:15:29:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,18,,,Step_ExtSDM,20171223-22:15:29:959|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126797,<HEX>-22:15:29:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,19,,,Step_ExtSDM,20171223-22:15:29:962|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:29:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
HealthApp_2k,20,,,Step_StandReportReceiver,20171223-22:15:29:962|Step_StandReportReceiver|30002312|REPORT : 7008 5003 150111 240,<HEX>-22:15:29:<NUM>|Step_StandReportReceiver|<HEX>|REPORT : <NUM> <NUM> <NUM> <NUM>
HealthApp_2k,21,,,Step_LSC,20171223-22:15:30:331|Step_LSC|30002312|onStandStepChanged 3581,<HEX>-22:15:30:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>
HealthApp_2k,22,,,onExtend,20171223-22:15:30:335|Step_LSC|30002312|onExtend:1514038531000 1 0 4,<HEX>-22:15:30:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 1 0 4
HealthApp_2k,23,,,Step_SPUtils,20171223-22:15:30:632|Step_SPUtils|30002312| getTodayTotalDetailSteps = 1514038440000##7008##548365##8661##12456##27174269,<HEX>-22:15:30:<NUM>|Step_SPUtils|<HEX>| getTodayTotalDetailSteps = <HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,24,,,Step_SPUtils,20171223-22:15:30:632|Step_SPUtils|30002312|setTodayTotalDetailSteps=1514038440000##7009##548365##8661##12551##27174951,<HEX>-22:15:30:<NUM>|Step_SPUtils|<HEX>|setTodayTotalDetailSteps=<HEX>##<NUM>##<NUM>##<NUM>##<NUM>##<HEX>
HealthApp_2k,25,,,Step_ExtSDM,20171223-22:15:30:639|Step_ExtSDM|30002312|calculateCaloriesWithCache totalCalories=126818,<HEX>-22:15:30:<NUM>|Step_ExtSDM|<HEX>|calculateCaloriesWithCache totalCalories=<NUM>
HealthApp_2k,26,,,Step_ExtSDM,20171223-22:15:30:641|Step_ExtSDM|30002312|calculateAltitudeWithCache totalAltitude=240,<HEX>-22:15:30:<NUM>|Step_ExtSDM|<HEX>|calculateAltitudeWithCache totalAltitude=<NUM>
