dataset,line_no,timestamp,level,component,message,template
Linux_2k,1,,,Jun,Jun 14 15:16:01 combo sshd(pam_unix)[19939]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Jun 14 15:16:01 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<IP>
Linux_2k,2,,,Jun,Jun 14 15:16:02 combo sshd(pam_unix)[19937]: check pass; user unknown,Jun 14 15:16:02 combo sshd(pam_unix)[<NUM>]: check pass; user unknown
Linux_2k,3,,,Jun,Jun 14 15:16:02 combo sshd(pam_unix)[19937]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Jun 14 15:16:02 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<IP>
Linux_2k,4,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20882]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
Linux_2k,5,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20884]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
Linux_2k,6,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20883]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
Linux_2k,7,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20885]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
Linux_2k,8,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20886]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
Linux_2k,9,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20892]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
Linux_2k,10,,,Jun,Jun 15 02:04:59 combo sshd(pam_unix)[20893]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Jun 15 02:04:59 combo sshd(pam_unix)[<NUM>]: authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=<NUM>-<NUM>-<NUM>-1.hinet-ip.hinet.net  user=root
