template,count
<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Receiving block blk_-<HEX> src: <PATH>:<NUM> dest: <PATH>:<NUM>,147
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: Received block blk_<NUM> of size <HEX> from <PATH>,145
<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: Receiving block blk_<NUM> src: <PATH>:<NUM> dest: <PATH>:<NUM>,145
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: Received block blk_-<HEX> of size <HEX> from <PATH>,141
<NUM> <NUM> 19 INFO dfs.FSDataset: Deleting block blk_<NUM> file <PATH>,122
<NUM> <NUM> 19 INFO dfs.FSDataset: Deleting block blk_-<HEX> file <PATH>,114
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_-<HEX> terminating,58
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_<NUM> terminating,55
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_-<HEX> terminating,54
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder 1 for block blk_<NUM> terminating,54
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder 2 for block blk_<NUM> terminating,45
<NUM> <NUM> <NUM> INFO dfs.DataNode$PacketResponder: PacketResponder 0 for block blk_-<HEX> terminating,45
<NUM> <NUM> <NUM> WARN dfs.DataNode$DataXceiver: <IP>:<NUM>:Got exception while serving blk_<NUM> to <PATH>:,44
<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: <IP>:<NUM> Served block blk_<NUM> to <PATH>,43
<NUM> <NUM> <NUM> INFO dfs.DataNode$DataXceiver: <IP>:<NUM> Served block blk_-<HEX> to <PATH>,37
<NUM> <NUM> <NUM> WARN dfs.DataNode$DataXceiver: <IP>:<NUM>:Got exception while serving blk_-<HEX> to <PATH>:,36
<NUM> <NUM> 27 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_-<HEX> is added to invalidSet of <IP>:<NUM>,27
<NUM> <NUM> 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_-<HEX> is added to invalidSet of <IP>:<NUM>,26
<NUM> <NUM> 28 INFO dfs.FSNamesystem: BLOCK* NameSystem.delete: blk_<NUM> is added to invalidSet of <IP>:<NUM>,24
<NUM> <NUM> 26 INFO dfs.FSNamesystem: BLOCK* NameSystem.addStoredBlock: blockMap updated: <IP>:<NUM> is added to blk_-<HEX> size <HEX>,23
