template,count
<HEX>-23:7:6:86|Step_LSC|<HEX>|onExtend:<HEX> 0 0 5,12
"<HEX>-22:19:58:<NUM>|HiH_DataStatManager|<HEX>|new date =<HEX>, type=<NUM>,<NUM>.0,old=<NUM>.0",11
<HEX>-23:14:24:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 5,8
<HEX>-22:19:58:<NUM>|HiH_HiAppUtil|<HEX>|getBinderPackageName packageName = com.huawei.health,8
<HEX>-22:30:23:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 5,5
<HEX>-22:15:29:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,4
<HEX>-22:24:22:<NUM>|Step_LSC|<HEX>|onExtend:<HEX> 0 0 5,4
<HEX>-22:19:57:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,4
"<HEX>-22:19:58:<NUM>|HiH_HiHealthDataInsertStore|<HEX>|saveStatData() type =<NUM>,time = <HEX>,statClient = 2,who is 1",4
<HEX>-22:52:45:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,4
<HEX>-23:14:24:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:53:1:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:55:55:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:24:22:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:39:25:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:33:46:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:31:59:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:51:37:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:15:35:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
<HEX>-22:53:12:<NUM>|Step_LSC|<HEX>|onStandStepChanged <NUM>,3
