template,count
Dec 10 11:03:53 LabSZ sshd[<NUM>]: Failed password for root from <IP> port <NUM> ssh2,2
Dec 10 11:03:58 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>  user=root,2
Dec 10 09:12:21 LabSZ sshd[<NUM>]: Failed password for invalid user admin from <IP> port <NUM> ssh2,2
Dec 10 09:18:33 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>,2
Dec 10 09:18:33 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): check pass; user unknown,2
Dec 10 09:18:28 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>,2
Dec 10 11:04:00 LabSZ sshd[<NUM>]: Failed password for root from <IP> port <NUM> ssh2,2
Dec 10 09:18:28 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): check pass; user unknown,2
Dec 10 11:03:51 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>  user=root,2
Dec 10 10:57:38 LabSZ sshd[<NUM>]: Received disconnect from <IP>: 11: Bye Bye [preauth],1
Dec 10 10:57:45 LabSZ sshd[<NUM>]: Received disconnect from <IP>: 11: Bye Bye [preauth],1
Dec 10 10:57:50 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>  user=root,1
Dec 10 10:57:50 LabSZ sshd[<NUM>]: Received disconnect from <IP>: 11: Bye Bye [preauth],1
Dec 10 10:57:34 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>  user=root,1
Dec 10 10:57:36 LabSZ sshd[<NUM>]: Failed password for root from <IP> port <NUM> ssh2,1
Dec 10 10:57:50 LabSZ sshd[<NUM>]: Failed password for root from <IP> port <NUM> ssh2,1
Dec 10 10:57:47 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>  user=root,1
Dec 10 10:57:47 LabSZ sshd[<NUM>]: Received disconnect from <IP>: 11: Bye Bye [preauth],1
Dec 10 10:57:47 LabSZ sshd[<NUM>]: Failed password for root from <IP> port <NUM> ssh2,1
Dec 10 10:57:45 LabSZ sshd[<NUM>]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<IP>  user=root,1
