template,count
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:07:11.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",11
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:09:15.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",8
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:12:01.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",6
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:00:59.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",5
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:04:25.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:07:11.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:07:10.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:10:37.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:08:33.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:14:04.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:03:02.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:09:56.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",4
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:09:14.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:00:17.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:01:53.<NUM> <NUM> INFO nova.osapi_compute.wsgi.server [req-<UUID> <HEX> <HEX> - - -] <IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:06:43.<NUM> <NUM> INFO nova.osapi_compute.wsgi.server [req-<UUID> <HEX> <HEX> - - -] <IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:06:29.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:12:00.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:12:00.<NUM> <NUM> INFO nova.metadata.wsgi.server [-] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
"nova-api.log.1.<NUM>-05-16_13:53:08 <NUM>-05-16 00:09:15.<NUM> <NUM> INFO nova.metadata.wsgi.server [req-<UUID> - - - - -] <IP>,<IP> ""GET <PATH> HTTP<PATH> status: <NUM> len: <NUM> time: 0.<NUM>",3
