timestamp,raw,final_label,severity,owner_team,tags,cluster_id,t5_template,cluster_template,auto_label
,[2025-09-03T02:09:33.0000 POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete,info,infra,"power,save,complete",1,] [2025-09-03T02:09:33.0000 POWER: no more nodes resume for job] [2025-09-03T02:09:33.0000 POWER: no more nodes resume for job] POWER: no more nodes:,[2025-09-03T02:09:33.0000 POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete
,[2025-09-03T15:09:31.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,latency to storage cluster exceeded threshold...].] [2025-09-03T15:09:31.0000 NETWORK: latency to storage cluster exceeded threshold..] [2025-09-03T15:09:31.0000 NETWORK,[2025-09-03T15:09:31.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
,"[2025-09-03T15:00:57.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"2025-09-03T15:00:57.0000] [2025-09-03T15:00:57.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320] [2025-0","[2025-09-03T15:00:57.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,[2025-09-03T11:46:13.0000 _slurm_rpc_submit_batch_job: JobId=973 InitPrio=30459 usec=6689,job_submit_batch,info,scheduler,"job,submit,batch",4,[2025-09-03T11:46:13.0000 _slurm_rpc_submit_batch_job: [2025-09-03T11:46:13.0000 _slurm_rpc_submit_batch,[2025-09-03T11:46:13.0000 _slurm_rpc_submit_batch_job: JobId=973 InitPrio=30459 usec=6689,job_submit_batch
,[2025-09-03T19:18:59.0000 State of 0 reservations recovered,cluster_state_recovered_no_reservations,info,scheduler,"cluster,state,recovered,no_reservations",5,2025-09-03T19:18:59.0000.2025-09-03T19:18:59.0000 State of 0 reservations recovered recovered.0000] [2025-09-03T19:18:59.0000 State of 0 reservations recovered recovered.,[2025-09-03T19:18:59.0000 State of 0 reservations recovered,cluster_state_recovered_no_reservations
,"[2025-09-03T03:47:41.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"2025-09T03:47:41.0000] [2025-09-03T03:47:41.0000,bf_resolution=60,bf_window=4320]5-09-03T03:47:41.0000] [202","<*> SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,[2025-09-03T21:31:32.0000 Running as primary controller,controller_primary,info,infra,"controller,primary",6,[2025-09-03T21:31:32.0000 Running as primary controller.] [2025-09-03T21:31:32.0000 Running as primary controller.,[2025-09-03T21:31:32.0000 Running as primary controller,controller_primary
,[2025-09-03T02:13:11.0000 POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete,info,infra,"power,save,complete",1,] [2025-09-03T02:13:11.0000 POWER: no more nodes resume for job] [2025-09-03T02:13:11.0000 POWER: no more nodes resume for job] POWER: no more nodes resume for job,<*> POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete
,[2025-09-03T19:57:47.0000 AUTH: authentication failure for user admin,auth_failure,high,security,"auth,security,login_failure",7,[2025-09-03T19:57:47.0000 AUTH: authentication failure for user admin] [2025-09-03T19:57:47.0000 AUTH: authentication failure for user admin] [2025-09-03T19:57:47.0000,[2025-09-03T19:57:47.0000 AUTH: authentication failure for user admin,auth_failure
,[2025-09-03T08:13:32.0000 Node cpu-8c-std-dy-c7i4xlarge-3 now responding,node_now_responding,info,infra,"node,recovered,online",8,[2025-09-03T08:13:32.0000 Node cpu-8c-std-dy-c7i4xlarge-3 now responding now now]-c7i4xlarge-3]-c7i4x-,[2025-09-03T08:13:32.0000 Node cpu-8c-std-dy-c7i4xlarge-3 now responding,node_now_responding
,[2025-09-03T17:27:32.0000 _slurm_rpc_submit_batch_job: JobId=1008 InitPrio=35944 usec=6535,job_submit_batch,info,scheduler,"job,submit,batch",9,5-09-03T17:27:32.0000 _slurm_rpc_submit_batch_job: [2025-09-03T17:27:32.0000 _slurm_rpc_submit_batch_,[2025-09-03T17:27:32.0000 _slurm_rpc_submit_batch_job: JobId=1008 InitPrio=35944 usec=6535,job_submit_batch
,[2025-09-03T17:38:06.0000 Node cpu-8c-std-dy-c7i4xlarge-3 now responding,node_now_responding,info,infra,"node,recovered,online",8,cpu-8c-std-dy-c7i4xlarge-3 now responding.]-c7i4xlarge-3] [2025-09-03T17:38:06.0000 Node cpu-8c-std-d,<*> Node cpu-8c-std-dy-c7i4xlarge-3 now responding,node_now_responding
,[2025-09-03T21:13:50.0000 _slurm_rpc_submit_batch_job: JobId=991 InitPrio=32548 usec=5610,job_submit_batch,info,scheduler,"job,submit,batch",10,[2025-09-03T21:13:13.0000 _slurm_rpc_submit_batch_job: JobId=991 InitPrio=32548 usec=5610 _slurm_rpc_,[2025-09-03T21:13:50.0000 _slurm_rpc_submit_batch_job: JobId=991 InitPrio=32548 usec=5610,job_submit_batch
,[2025-09-03T22:27:40.0000 POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete,info,infra,"power,save,complete",1,] [2025-09-03T22:27:40.0000 POWER: no more nodes resume for job] [2025-09-03T22:27:40.0000 POWER: no more nodes resume for job]:40.0000 POWER: no,<*> POWER: no more nodes to resume for job JobId=986,cluster_power_save_complete
,[2025-09-03T13:20:13.0000 Node cpu-8c-std-dy-c7i4xlarge-1 now responding,node_now_responding,info,infra,"node,recovered,online",8,[2025-09-03T13:20:13.0000 Node cpu-8c-std-dy-c7i4xlarge-1 now responding. [2025-09-03T13:20:13.0000 Node cpu-8c-st,<*> Node <*> now responding,node_now_responding
,[2025-09-03T01:27:18.0000 _slurm_rpc_submit_batch_job: JobId=976 InitPrio=35529 usec=5381,job_submit_batch,info,scheduler,"job,submit,batch",11,[2025-09-03T01:27:18.0000 _slurm_rpc_submit_batch_job: [2025-09-03T01:27:18.0000 _slurm_rpc_submit_batch,[2025-09-03T01:27:18.0000 _slurm_rpc_submit_batch_job: JobId=976 InitPrio=35529 usec=5381,job_submit_batch
,[2025-09-03T13:15:14.0000 Node cpu-8c-std-dy-c7i4xlarge-5 now responding,node_now_responding,info,infra,"node,recovered,online",8,[2025-09-03T13:15:14.0000 Node cpu-8c-std-dy-c7i4xlarge-5 now responding now now]-c7i4xlarge-5] [2025-09-03T13:,<*> Node <*> now responding,node_now_responding
,"[2025-09-03T16:53:25.0000 Gres Name=gpu Type=l4 Count=7 Flags=HAS_FILE,HAS_TYPE,ENV_NVML",gpu_inventory_update,info,infra,"gpu,l4,inventory",12,2025-09-03T16:53:25.0000 Gres] [2025-09-03T16:53:25.0000 Gres] [2025-09-03T16:53:25.0000 Gres] [2025-09-03T16:53:25,"[2025-09-03T16:53:25.0000 Gres Name=gpu Type=l4 Count=7 Flags=HAS_FILE,HAS_TYPE,ENV_NVML",gpu_inventory_update
,[2025-09-03T13:18:20.0000 sched: Allocate JobId=1011 NodeList=cpu-8c-std-dy-c7i4xlarge-2 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,2025-09-03T13:18:20.0000 sched:-dy-c7i4xlarge-2]d-dy-c7i4xlarge-2] [2025-09-03T13:18:20.0000 sched,[2025-09-03T13:18:20.0000 sched: Allocate JobId=1011 NodeList=cpu-8c-std-dy-c7i4xlarge-2 #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T21:30:46.0000 DISK: scrubber error while cleaning temp files,disk_scrubber_error,high,storage,"disk,scrubber,error",14,] [2025-09T21:30:46.0000 DISK: scrubber error while cleaning temp files..]..]. [2025-09T21:30:46.0000 DISK: scrubber error while cleaning temp files.05,[2025-09-03T21:30:46.0000 DISK: scrubber error while cleaning temp files,disk_scrubber_error
,"[2025-09-03T16:18:49.0000 Gres Name=gpu Type=l4 Count=7 Flags=HAS_FILE,HAS_TYPE,ENV_NVML",gpu_inventory_update,info,infra,"gpu,l4,inventory",12,2025-09-03T16:18:49.0000] [2025-09-03T16:18:49.0000 Gres [2025-09-03T16:18:49.0000 Gres [2025-09-03T16:18:49.0000 Gres,"<*> Gres Name=gpu Type=l4 Count=7 Flags=HAS_FILE,HAS_TYPE,ENV_NVML",gpu_inventory_update
,[2025-09-03T00:43:49.0000 DISK: scrubber error while cleaning temp files,disk_scrubber_error,high,storage,"disk,scrubber,error",14,] [2025-09-03T00:43:40.00 DISK: scrubber error while cleaning temp files..]] [2025-09-03T00:43:40.00 DISK: scrubber error while cleaning temp files..] [202,<*> DISK: scrubber error while cleaning temp files,disk_scrubber_error
,[2025-09-03T23:08:09.0000 NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster,warning,network,"network,latency,storage",2,latency to storage cluster exceeded threshold.. latency to storage cluster exceeded threshold..] [2025-09-03T23:08:09.0000 NETWORK: latency to storage cluster exceeded threshold.. Storage cluster exceeded threshold. Storage cluster exceeded threshold.:,<*> NETWORK: latency to storage cluster exceeded threshold,network_latency_storage_cluster
,"[2025-09-03T22:39:32.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"2025-09-03T22:39:32.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320] [2025-09-03T22:39:32.0000] [","<*> SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,"[2025-09-03T18:34:05.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"2025-09-03T18:34:05.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320] [2025-09-03T18:34:05.0000 [202","<*> SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,[2025-09-03T19:46:44.0000 State of 0 reservations recovered,cluster_state_recovered_no_reservations,info,scheduler,"cluster,state,recovered,no_reservations",5,2025-09-03T19:46:44.0000.2025-09-03T19:46:44.0000 State of 0 reservations recovered recovered.0000] [2025-09-03T19:46:44.0000 State of 0 reservations recovered recovered.,<*> State of 0 reservations recovered,cluster_state_recovered_no_reservations
,[2025-09-03T15:10:17.0000 POWER: Node cpu-8c-std-dy-c7i4xlarge-4 powered up with instance_id=i-1985197,cluster_power_node_online,info,infra,"power,node,online",15,_id=i-1985197] [2025-09-03T15:10:10.0000] [2025-09-03T15:10:10.0000]-c7i4xlarge-4-c7i4xlarge-4-c7i,[2025-09-03T15:10:17.0000 POWER: Node cpu-8c-std-dy-c7i4xlarge-4 powered up with instance_id=i-1985197,cluster_power_node_online
,[2025-09-03T14:25:09.0000 sched: Allocate JobId=960 NodeList=cpu-8c-std-dy-c7i4xlarge-5 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,2025-09-03T14:25:09.0000 sched:-dy-c7i4xlarge-5]dy-c7i4xlarge-5] [2025-09-03T14:25:09.0000 sched: Allocate,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,"[2025-09-03T16:34:22.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters,info,scheduler,"scheduler,config",3,"2025-09-03T16:34:22.0000 SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320] [2025-09-03T16:34:22.0000 [202","<*> SchedulerParameters=preempt_youngest_first,bf_resolution=60,bf_window=4320",scheduler_parameters
,[2025-09-03T14:54:38.0000 DISK: scrubber error while cleaning temp files,disk_scrubber_error,high,storage,"disk,scrubber,error",14,[2025-09-03T14:54:38.0000 DISK: scrubber error while cleaning temp files.] [2025-09-03T14:54:38.0000 DISK: scrubber error while cleaning temp files.,<*> DISK: scrubber error while cleaning temp files,disk_scrubber_error
,[2025-09-03T15:11:34.0000 sched: Allocate JobId=964 NodeList=cpu-8c-std-dy-c7i4xlarge-3 #CPUs=8 Partition=cpu-8c-std,job_allocate,info,scheduler,"job,allocate,node,cpu-8c-std",13,2025-09-03T15:11:34.0000 sched:-dy-c7i4xlarge-3]d-dy-c7i4xlarge-3] [2025-09-03T15:11:34.0000 sched,<*> sched: Allocate <*> <*> #CPUs=8 Partition=cpu-8c-std,job_allocate
,[2025-09-03T01:55:12.0000 Node cpu-8c-std-dy-c7i4xlarge-2 now responding,node_now_responding,info,infra,"node,recovered,online",8,cpu-8c-std-dy-c7i4xlarge-2 now responding.]-c7i4xlarge-2 now responding-c7i4-c75-09-03T01:55:12.00005-09,<*> Node <*> now responding,node_now_responding
