cluster_id,size,cluster_template,example_raw,label
T-1,3375,,[2025-08-27T09:41:14.022] power down request repeating for node cpu-8c-std-dy-c7i4xlarge-20,node_shutdown_event
T00015417,419,[2025-08-27T11:00:16.269] [2025-08-27T11:00:16.269] [2025-08-27T11:00:16.269] [2025-08-27T11:00:16.269] [2025-08-27T,[2025-08-27T11:31:07.230] POWER: Power save mode: 208 nodes,node_shutdown_event
T00016109,290,: node <*> <*> <*> update_node: no,[2025-09-01T15:36:44.751] update_node: node cpu-48c-std-dy-c7i24xlarge-5 state set to DOWN,
T00016193,228,cpu-48c-std-dy-c7i24xlarge-11.-c7i24xlarge-11. [2025-09-01T15:48:06.149] update_node: node cpu-48c-s,[2025-09-01T15:53:06.191] powering down node cpu-48c-std-dy-c7i24xlarge-5,node_shutdown_event
T00015688,198,[2025-08-28T10:00:01.589] POWER: no more nodes to resume for job [2025-08-28T10:00:01.589] POWER: no more nodes to resume for job:01.589] [2025-08-,[2025-08-28T10:13:00.000] sched: Allocate JobId=809 NodeList=cpu-16c-std-dy-c7i8xlarge-2 #CPUs=16 Partition=cpu-16c-std,node_shutdown_event
T00015414,185,[2025-08-27T09:58:16.821] POWER: Power save mode: 210 nodes. [2025-08-27T09:58:16.821] POWER: Power save mode: 210 nodes.,[2025-08-27T11:10:36.342] POWER: Power save mode: 210 nodes,node_shutdown_event
T00016176,152,[2025-09-01T15:43:23.006] error: unable to split forward hostlist forward hostlist forward [2025-09-01T15:43:23.006] hostlist forward hostlist forward [2025-09-01T15:43:23.006] hostlist forward,"[2025-09-01T15:48:33.003] error: slurm_set_addr: Unable to resolve ""cpu-48c-std-dy-c7i24xlarge-5""",node_error_event
T00016861,144,node-c7i4xlarge-1 [2025-09-02T08:20:55.888] powering down node-c7i4xlarge-1-c7i4xlarge-1.888] powering down node.888,[2025-09-02T08:20:55.889] drain_nodes: node cpu-8c-std-dy-c7i4xlarge-15 state set to DRAIN,node_draining_state
T00016878,139,<*> node. [2025-09-02T08:20:56.042] update_node: node <*> reason set to:,[2025-09-02T08:20:56.042] drain_nodes: node cpu-32c-std-dy-c7i16xlarge-18 state set to DRAIN,node_draining_state
T00016147,138,[2025-09-01T15:38:06.208] node node [2025-09-01T15:38:06.208] powering down node [2025-09-01T15:38:06.208] powering down node-00:00:08.,[2025-09-01T15:43:06.201] update_node: node cpu-48c-std-dy-c7i24xlarge-10 reason set to: Enabling node since insufficient capacity timeout expired,node_shutdown_event
