raw,t5_template,cluster_id,cluster_template,drain_similarity,auto_label,auto_label_v2,manual_label,final_label
[2025-08-27T09:41:14.022] power down request repeating for node cpu-8c-std-dy-c7i4xlarge-20,[2025-08-27T09:41:14.022]. power down request repeating for node [2025-08-27T09:41:14.022]- power down request:2025-08-27T09:41:14.0,T-1,,1.0,node_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-1 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-1 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-1,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:.::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-2 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-2 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-2,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-3 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-3 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-3,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-4 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-4 reason set to: stopping cluster cluster [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-4,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-5 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-5 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-5,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-6 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-6 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-6,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-7 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-7 reason set to: stopping cluster cluster [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-7,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-8 reason set to: stopping cluster,2025-08-27T09:41:14.053 node_node: [2025-08-27T09:41:14.053]node node- node2025-08-27T09:41:14.053,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-8,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:- [2025-08-27T09:41:14.053].2025-08-27T09,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-9 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-9 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-9,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]::::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-10 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-10 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-10,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-11 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-11 reason set to: stopping cluster. [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-11,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] update_node: node cpu-16c-std-dy-c7i8xlarge-12 reason set to: stopping cluster,[2025-08-27T09:41:14.053] update_node: node cpu-16c-sd-dy-c7i8xlarge-12 reason set to: stopping cluster cluster [2025-08-27T09:41:14.053],T-1,,1.0,cluster_shutdown_event,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
[2025-08-27T09:41:14.053] power down request repeating for node cpu-16c-std-dy-c7i8xlarge-12,[2025-08-27T09:41:14.053]. [2025-08-27T09:41:14.053]:-::2025-08-27T09:41:14.053]:5-08-27,T-1,,1.0,unlabeled,cluster_shutdown_event,node_shutdown_event,node_shutdown_event
